Day,Suspected,New suspected,Positive,New positive,Deceased,New deceased
2020.02.24,0,0,0,0,0,0
2020.02.25,0,0,0,0,0,0
2020.02.26,1,1,0,0,0,0
2020.02.27,1,0,1,1,0,0
2020.02.28,3,2,2,1,0,0
2020.02.29,8,5,4,2,0,0
2020.03.1,11,3,5,1,0,0
2020.03.2,21,10,5,0,0,0
2020.03.3,39,18,5,0,0,0
2020.03.4,26,-13,5,0,0,0
2020.03.5,35,9,5,0,0,0
2020.03.6,36,1,6,1,0,0
2020.03.7,30,-6,7,1,0,0
2020.03.8,24,-6,7,0,0,0
2020.03.9,12,-12,7,0,0,0
2020.03.10,37,15,7,0,0,0
2020.03.11,49,12,12,5,0,0
2020.03.12,82,33,15,3,0,0
2020.03.13,105,23,26,11,0,0
2020.03.14,152,152,41,17,0,0
2020.03.15,173,21,53,12,0,0
2020.03.16,168,-5,83,30,0,0
2020.03.17,203,35,92,9,0,0
2020.03.18,309,106,121,29,0,0
2020.03.19,440,131,162,41,1,1
2020.03.20,596,156,201,39,2,1
2020.03.21,685,89,258,57,2,0
2020.03.22,779,94,311,53,2,0
2020.03.23,811,32,361,50,4,0
2020.03.24,1198,387,398,37,5,1
2020.03.25,1627,429,469,71,6,1
2020.03.26,2117,490,603,134,8,2
2020.03.27,2431,314,707,104,12,4
2020.03.28,2577,146,835,128,16,4
2020.03.29,2519,-58,978,143,20,4
2020.03.30,2703,184,1076,98,28,8
2020.03.31,3449,746,1307,231,29,1
2020.04.01,3759,310,1353,46,37,8
2020.04.02,4560,801,1482,129,50,13
2020.04.03,5292,732,1657,175,60,10
2020.04.04,5713,421,1854,197,79,19
2020.04.05,5106,5106,2106,2106,94,15
2020.04.06,6162,1056,2394,288,125,31
2020.04.07,7392,1230,2725,331,141,16
2020.04.08,9024,1632,3112,387,174,33
2020.04.09,10361,1337,3443,331,194,20
2020.04.10,10300,-61,3844,401,233,39
2020.04.11,9983,-317,4219,375,273,40
2020.04.12,8697,8697,4661,4661,0,0
